"Nº ONU (1)","Nome e Descrição (2)","Classe ou Subclasse de Risco (3)","Risco Subsi- diário (4)","Nº de Risco (5)","Grupo de Emb. (6)","Provisões Especiais (7)","Quant. Limitada por","","Embalagens e IBCs","","Tanques Portáteis e Contentores para Granéis",""
"2402","PROPANOTIÓIS","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2403","ACETATO DE ISOPROPENILA","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2404","PROPIONITRILA","3","6.1","336","II","","333","1 L","P001
IBC02","","T7","TP1"
"2405","BUTIRATO DE ISOPROPILA","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2406","ISOBUTIRATO DE ISOPROPILA","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2407","CLOROFORMIATO DE ISOPROPILA","6.1","3
8","663","I","354","20","ZERO","P602","","",""
"2409","PROPIONATO DE ISOPROPILA","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2410","1,2,3,6-TETRA-HIDROPIRIDINA","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2411","BUTIRONITRILA","3","6.1","336","II","","333","1 L","P001
IBC02","","T7","TP1"
"2412","TETRA-HIDROTIOFENO","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2413","ORTOTITANATO DE TETRAPROPILA","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"2414","TIOFENO","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2416","BORATO DE TRIMETILA","3","","33","II","","333","1 L","P001
IBC02","","T7","TP1"
"2417","FLUORETO DE CARBONILA","2.3","8","268","","","20","ZERO","P200","","",""
"2418","TETRAFLUORETO DE ENXOFRE","2.3","8","","","","20","ZERO","P200","","",""
"2419","BROMOTRIFLUORETILENO","2.1","","23","","","333","ZERO","P200","","",""
"2420","HEXAFLUORACETONA","2.3","8","268","","","20","ZERO","P200","","",""
"2421","TRIÓXIDO DE NITROGÊNIO","2.3","5.1
8","265","","","ZERO","ZERO","P200","","",""
"2422","OCTAFLUORBUT-2-ENO (GÁS REFRIGERANTE R 1318)","2.2","","20","","","1000","120 ml","P200","","",""
"2424","OCTAFLUORPROPANO (GÁS REFRIGERANTE R 218)","2.2","","20","","","1000","120 ml","P200","","T50",""
"2426","NITRATO DE AMÔNIO, LÍQUIDO (solução concentrada por aquecimento)","5.1","","59","","","ZERO","ZERO","N/A","","T7","TP1
TP16"
"","","","","","","252","","","","","",""
"","","","","","","","","","","","","TP17"
"2427","CLORATO DE POTÁSSIO, SOLUÇÃO AQUOSA","5.1","","50","II","","333","1 L","P504
IBC02","","T4","TP1"
"","","5.1","","50","III","","1000","5 L","P504
IBC02","","T4","TP1"
"","","","","","","223","","","","","",""
"2428","CLORATO DE SÓDIO, SOLUÇÃO AQUOSA","5.1","","50","II","","333","1 L","P504
IBC02","","T4","TP1"
"","","5.1","","50","III","223","1000","5 L","P504
IBC02","","T4","TP1"
"2429","CLORATO DE CÁLCIO, SOLUÇÃO AQUOSA","5.1","","50","II","","333","1 L","P504
IBC02","","T4","TP1"
"","","5.1","","50","III","223","1000","5 L","P504
IBC02","","T4","TP1"
"2430","ALQUILFENÓIS, SÓLIDOS, N.E. (incluindo os homólogos C2-C12)","8","","88","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","8","","80","III","223","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2431","ANISIDINAS","6.1","","60","III","","333","5 L","P001
IBC03 LP01","","T4","TP1"
"2432","N,N-DIETILANILINA","6.1","","60","III","279","333","5 L","P001 IBC03
LP01","","T4","TP1"
"2433","CLORONITROTOLUENOS, LÍQUIDOS","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T4","TP1"
"2434","DIBENZILDICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"2435","ETILFENILDICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"2436","ÁCIDO TIOACÉTICO","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2437","METILFENILDICLOROSSILANO","8","","X80","II","","333","ZERO","P010","","T10","TP2
TP7"
"","","","","","","","","","","","",""
"2438","CLORETO DE TRIMETILACETILA","6.1","3
8","663","I","","20","ZERO","P001","","T14","TP2"
"2439","HIDROGENODIFLUORETO DE SÓDIO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"2440","CLORETO ESTÂNICO, PENTAHIDRATADO","8","","80","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2441","TRICLORETO DE TITÂNIO, PIROFÓRICO ou MISTURA DE TRICLORETO DE TITÂNIO, PIROFÓRICA","4.2","8","48","I","","ZERO","ZERO","P404","","",""
"2442","CLORETO DE TRICLOROACETILA","8","","X80","II","","333","ZERO","P001","","T7","TP2"
"2443","OXITRICLORETO DE VANÁDIO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"2444","TETRACLORETO DE VANÁDIO","8","","X88","I","","20","ZERO","P802","","T10","TP2"
"2446","NITROCRESÓIS, SÓLIDO","6.1","","60","III","","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"2447","FÓSFORO, BRANCO, FUNDIDO","4.2","6.1","446","I","","ZERO","ZERO","N/A","","T21","TP3 TP7
TP26"
"2448","ENXOFRE, FUNDIDO","4.1","","44","III","","1000","ZERO","IBC01","","T1","TP3"
"2451","TRIFLUORETO DE NITROGÊNIO","2.2","5.1","25","","","1000","ZERO","P200","","",""
"2452","ETILACETILENO, ESTABILIZADO","2.1","","239","","386","333","ZERO","P200","","",""
"2453","FLUORETO DE ETILA (GÁS REGRIGERANTE R 161)","2.1","","23","","","333","ZERO","P200","","",""
"2454","FLUORETO DE METILA (GÁS REFRIGERANTE R 41)","2.1","","23","","","333","ZERO","P200","","",""
"2455","NITRITO DE METILA","2.2","","20","","","ZERO","120 ml","P200","","",""
"2456","2-CLOROPROPENO","3","","33","I","","20","ZERO","P001","","T11","TP2"
"2457","2,3-DIMETILBUTANO","3","","33","II","","333","1 L","P001
IBC02","","T7","TP1"
"2458","HEXADIENO","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2459","2-METIL-1-BUTENO","3","","33","I","","20","ZERO","P001","","T11","TP2"
"2460","2-METIL-2-BUTENO","3","","33","II","","333","1 L","P001
IBC02","B8","T7","TP1"
"2461","METILPENTADIENO","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2463","HIDRETO DE ALUMÍNIO","4.3","","X423","I","","20","ZERO","P403","","",""
"2464","NITRATO DE BERÍLIO","5.1","6.1","56","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"2465","ÁCIDO DICLOROISOCIANÚRICO, SECO, ou SAIS DE ÁCIDO DICLOROISOCIANÚRICO","5.1","","50","II","135","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"2466","SUPERÓXIDO DE POTÁSSIO","5.1","","55","I","","20","ZERO","P503
IBC06","B1","",""
"2468","ÁCIDO TRICLOROISOCIANÚRICO, SECO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"2469","BROMATO DE ZINCO","5.1","","50","III","","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"2470","FENILACETONITRILA, LÍQUIDA","6.1","","60","III","","333","5 L","P001
IBC03 LP01","","T4","TP1"
"2471","TETRÓXIDO DE ÓSMIO","6.1","","66","I","","20","ZERO","P002
IBC07","PP30
B1","T6","TP33"
"2473","ARSANILATO DE SÓDIO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2474","TIOFOSGÊNIO","6.1","","66","I","279","333","ZERO","P602","","T20","TP2"
"","","","","","","354","","","","","",""
"","","","","","","","","","","","","TP37"
"2475","TRICLORETO DE VANÁDIO","8","","80","III","","1000","5 kg","P002
IBC08","B3","T1","TP33"
"","","","","","","","","","LP02","","",""
"2477","ISOTIOCIANATO DE METILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2478","ISOCIANATOS, INFLAMÁVEIS, TÓXICOS, N.E. ou SOLUÇÃO DE ISOCIANATOS, INFLAMÁVEL, TÓXICA, N.E.","3","6.1","336","II","274","333","1 L","P001 IBC02","","T11","TP2
TP27"
"","","3","6.1","36","III","223
274","1000","5 L","P001 IBC03","","T7","TP1
TP28"
"2480","ISOCIANATO DE METILA","6.1","3","663","I","354","20","ZERO","P601","","T22","TP2"
"","","","","","","","","","","","",""
"2481","ISOCIANATO DE ETILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2482","ISOCIANATO DE n-PROPILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2483","ISOCIANATO DE ISOPROPILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2484","ISOCIANATO DE t-BUTILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2485","ISOCIANATO DE n-BUTILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2486","ISOCIANATO DE ISOBUTILA","6.1","3","663","I","354","333","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2487","ISOCIANATO DE FENILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2488","ISOCIANATO DE CICLO-HEXILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2490","ÉTER DICLOROISOPROPÍLICO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2491","ETANOLAMINA ou SOLUÇÃO DE ETANOLAMINA","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"2493","HEXAMETILENOIMINA","3","8","338","II","","333","1 L","P001
IBC02","","T7","TP1"
"2495","PENTAFLUORETO DE IODO","5.1","6.1
8","568","I","","20","ZERO","P200","","",""
"2496","ANIDRIDRO PROPIÔNICO","8","","80","III","","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"2498","1,2,3,6-TETRA-HIDROBENZALDEÍDO","3","","30","III","","1000","5 L","P001
IBC03","","T2","TP1"
"","","","","","","","","","LP01","","",""
"2501","ÓXIDO DE TRIS-(1-AZIRIDINIL) FOSFINA, SOLUÇÃO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"","","6.1","","60","III","223","333","5 L","P001
IBC03 LP01","","T4","TP1"
"2502","CLORETO DE VALERILA","8","3","83","II","","333","1 L","P001
IBC02","","T7","TP2"
"2503","TETRACLORETO DE ZIRCÔNIO","8","","80","III","","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"2504","TETRABROMOETANO","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T4","TP1"
"2505","FLUORETO DE AMÔNIO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2506","HIDROGENOSSULFATO DE AMÔNIO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"2507","ÁCIDO CLOROPLATÍNICO, SÓLIDO","8","","80","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2508","PENTACLORETO DE MOLIBDÊNIO","8","","80","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2509","HIDROGENOSSULFATO DE POTÁSSIO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"2511","ÁCIDO 2-CLOROPROPIÔNICO","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP2"
"2512","AMINOFENÓIS (o-,m-,p-)","6.1","","60","III","279","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"2513","BROMETO DE BROMOACETILA","8","","X80","II","","333","1 L","P001
IBC02","","T8","TP2"
"2514","BROMOBENZENO","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2515","BROMOFÓRMIO","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T4","TP1"
"2516","TETRABROMETO DE CARBONO","6.1","","60","III","","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"2517","1-CLORO-1,1-DIFLUORETANO (GÁS REFRIGERANTE R 142 b)","2.1","","23","","","333","ZERO","P200","","T50",""
"2518","1,5,9-CICLODODECATRIENO","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T4","TP1"
"2520","CICLOOCTADIENOS","3","","30","III","","1000","5 L","P001
IBC03","","T2","TP1"
"","","","","","","","","","LP01","","",""
"2521","DICETENO, ESTABILIZADO","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","386","","","","","",""
"","","","","","","","","","","","","TP37"
"2522","METACRILATO DE 2-DIMETILAMINOETILA","6.1","","69","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2524","ORTOFORMIATO DE ETILA","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2525","OXALATO DE ETILA","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T4","TP1"
"2526","FURFURILAMINA","3","8","38","III","","1000","5 L","P001
IBC03","","T4","TP1"
"2527","ACRILATO DE ISOBUTILA, ESTABILIZADO","3","","39","III","386","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2528","ISOBUTIRATO DE ISOBUTILA","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2529","ÁCIDO ISOBUTÍRICO","3","8","38","III","","1000","5 L","P001
IBC03","","T4","TP1"
"2531","ÁCIDO METACRÍLICO, ESTABILIZADO","8","","89","II","386","333","1 L","P001 IBC02
LP01","","T7","TP2 TP18
TP30"
"2533","TRICLOROACETATO DE METILA","6.1","","60","III","","333","5 L","P001
IBC03 LP01","","T4","TP1"
"2534","METILCLOROSSILANO","2.3","2.1
8","263","","","20","ZERO","P200","","",""
"2535","4-METILMORFOLINA (N-METILMORFOLINA)","3","8","338","II","","333","1 L","P001
IBC02","","T7","TP1"
"2536","METILTETRA-HIDROFURANO","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2538","NITRONAFTALENO","4.1","","40","III","","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"2541","TERPINOLENO","3","","30","III","","1000","5 L","P001
IBC03 LP01","","T2","TP1"
"2542","TRIBUTILAMINA","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2545","HÁFNIO EM PÓ, SECO","4.2","","43","I","","ZERO","ZERO","P404","","",""
"","","4.2","","40","II","","333","ZERO","P410
IBC06","B2","T3","TP33"
"","","4.2","","40","III","223","1000","ZERO","P002 IBC08
LP02","B3","T1","TP33"
"2546","TITÂNIO EM PÓ, SECO","4.2","","43","I","","ZERO","ZERO","P404","","",""
"","","4.2","","40","II","","333","ZERO","P410","","T3","TP33"
"","","","","","","","","","IBC06","B2","",""
"","","4.2","","40","III","223","1000","ZERO","P002 IBC08
LP02","B3","T1","TP33"
"2547","SUPERÓXIDO DE SÓDIO","5.1","","55","I","","20","ZERO","P503
IBC06","B1","",""
"2548","PENTAFLUORETO DE CLORO","2.3","5.1
8","265","","","20","ZERO","P200","","",""
"2552","HIDRATO DE HEXAFLUORACETONA, LÍQUIDO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2554","CLORETO DE METILALILA","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2555","NITROCELULOSE, COM ÁGUA (no mínimo 25% de água, em massa)","4.1","","40","II","","333","ZERO","P406","","",""
"2556","NITROCELULOSE COM ÁLCOOL (no mínimo 25% de álcool, em massa, e com até 12,6% de nitrogênio, por massa seca)","4.1","","40","II","","333","ZERO","P406","","",""
"2557","NITROCELULOSE, com até 12,6% de nitrogênio, por massa seca, MISTURA COM ou  SEM PLASTIFICANTE,  COM ou SEM PIGMENTO","4.1","","40","II","241","333","ZERO","P406","","",""
"2558","EPIBROMIDRINA","6.1","3","663","I","","20","ZERO","P001","","T14","TP2"
"2560","2-METILPENTAN-2-OL","3","","30","III","","1000","5 L","P001
IBC03 LP01","","T2","TP1"
"2561","3-METIL-1-BUTENO","3","","33","I","","20","ZERO","P001","","T11","TP2"
"2564","ÁCIDO TRICLOROACÉTICO SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"2565","DICICLO-HEXILAMINA","8","","80","III","","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"2567","PENTACLOROFENATO DE SÓDIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"2570","CÁDMIO COMPOSTO","6.1","","66","I","274","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","6.1","","60","II","274","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","6.1","","60","III","223","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"","","","","","","274","","","","","",""
"","","","","","","","","","","","",""
"2571","ÁCIDOS ALQUILSULFÚRICOS","8","","80","II","","333","1 L","P001 IBC02","","T8","TP2
TP28"
"2572","FENIL-HIDRAZINA","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2573","CLORATO DE TÁLIO","5.1","6.1","56","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"2574","FOSFATO DE TRICRESILA com mais de 3% de isômero orto","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2576","OXIBROMETO DE FÓSFORO, FUNDIDO","8","","80","II","","333","ZERO","N/A","","T7","TP3"
"","","","","","","","","","","","",""
"2577","CLORETO DE FENILACETILA","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"2578","TRIÓXIDO DE FÓSFORO","8","","80","III","","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"2579","PIPERAZINA","8","","80","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2580","BROMETO DE ALUMÍNIO SOLUÇÃO","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"2581","CLORETO DE ALUMÍNIO SOLUÇÃO","8","","80","III","223","1000","5 L","P001
IBC03 LP01","","T4","TP1"
"2582","CLORETO FERRICO SOLUÇÃO","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"2583","ÁCIDOS  ALQUILSULFÔNICOS,  SÓLIDOS  ou  ÁCIDOS  ARILSULFÔNICOS,  SÓLIDOS,  com  mais  de  5%  de  ácido
sulfúrico livre","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"2584","ÁCIDOS  ALQUILSULFÔNICOS,  LÍQUIDOS  ou  ÁCIDOS  ARILSULFÔNICOS,  LÍQUIDOS,  com  mais  de  5%  de  ácido
sulfúrico livre","8","","80","II","","333","1 L","P001
IBC02","","T8","TP2"
"2585","ÁCIDOS ALQUILSULFÔNICOS,  SÓLIDOS ou  ÁCIDOS ARILSULFÔNICOS,  SÓLIDOS,  com até  5%  de  ácido  sulfúrico
livre","8","","80","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2586","ÁCIDOS ALQUILSULFÔNICOS, LÍQUIDOS ou ÁCIDOS ARILSULFÔNICOS, LÍQUIDOS, com até 5% de ácido sulfúrico
livre","8","","80","III","","1000","5 L","P001
IBC03 LP01","","T4","TP1"
"2587","BENZOQUINONA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"2588","PESTICIDA, SÓLIDO, TÓXICO, N.E.","6.1","","66","I","61
274","20","ZERO","P002
IBC99","","T6","TP33"
"","","6.1","","60","II","61
274","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","6.1","","60","III","61
223
274","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"2589","CLOROACETATO DE VINILA","6.1","3","63","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2590","AMIANTOS, CRISOTILIA","9","","90","III","168","1000","5 Kg","P002
IBC08","PP37
B2, B3","T1","TP33"
"2591","XENÔNIO, LÍQUIDO REFRIGERADO","2.2","","22","","","1000","120 ml","P203","","T75","TP5"
"2599","MISTURA  AZEOTRÓPICA  DE  CLOROTRIFLUORMETANO  E  TRIFLUORMETANO,  com  aproximadamente  60%  de
clorotrifluormetano (GÁS REFRIGERANTE R 503)","2.2","","20","","","1000","120 ml","P200","","",""
"2601","CICLOBUTANO","2.1","","23","","","333","ZERO","P200","","",""
"2602","MISTURA  AZEOTRÓPICA  DE  DICLORODIFLUORMETANO  E  DIFLUORETANO,  com  aproximadamente   74%  de
diclorodifluormetano (GÁS REFRIGERANTE R 500)","2.2","","20","","","1000","120 ml","P200","","T50",""
"2603","CICLO-HEPTATRIENO","3","6.1","336","II","","333","1 L","P001
IBC02","","T7","TP1"
"2604","DIETILETERATO DE TRIFLUORETO DE BORO","8","3","883","I","","20","ZERO","P001","","T10","TP2"
"2605","ISOCIANATO DE METOXIMETILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2606","ORTOSSILICATO DE METILA","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2607","ACROLEÍNA DIMERIZADA, ESTABILIZADA","3","","39","III","386","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2608","NITROPROPANOS","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2609","BORATO DE TRIALILA","6.1","","60","III","","333","5 L","P001
IBC03 LP01","","",""
"2610","TRIALILAMINA","3","8","38","III","","1000","5 L","P001
IBC03","","T4","TP1"
"2611","PROPILENOCLORIDRINA","6.1","3","63","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2612","ÉTER METILPROPÍLICO","3","","33","II","","333","1 L","P001
IBC02","B8","T7","TP2"
"2614","ÁLCOOL METALÍLICO","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2615","ÉTER ETILPROPÍLICO","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"2616","BORATO DE TRIISOPROPILA","3","","33","II","","333","1 L","P001
IBC02","","T4","TP1"
"","","3","","30","III","223","1000","5 L","P001
IBC03 LP01","","T2","TP1"
"2617","METILCICLO-HEXANÓIS, inflamáveis","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2618","VINILTOLUENOS, ESTABILIZADOS","3","","39","III","386","1000","5 L","P001
IBC03 LP01","","T2","TP1"
"2619","BENZILDIMETILAMINA","8","3","83","II","","333","1 L","P001
IBC02","","T7","TP2"
"2620","BUTIRATOS DE AMILA","3","","30","III","","1000","5 L","P001
IBC03 LP01","","T2","TP1"
"2621","ACETILMETILCARBINOL","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"2622","GLICIDALDEÍDO","3","6.1","336","II","","333","1 L","P001
IBC02","B8","T7","TP1"
"2623","ACENDEDORES, SÓLIDOS com líquido inflamável","4.1","","40","III","","ILIMITADA","5 kg","P002
LP02","PP15","",""
"2624","SILICIETO DE MAGNÉSIO","4.3","","423","II","","333","500 g","P410","","T3","TP33"
"","","","","","","","","","IBC07","B2","",""
"2626","ÁCIDO CLÓRICO, SOLUÇÃO AQUOSA, com até 10% de ácido clórico","5.1","","50","II","","333","1 L","P504
IBC02","","T4","TP1"
"2627","NITRITOS, INORGÂNICOS, N.E.","5.1","","50","II","103","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","","","","","274","","","","","",""
"2628","FLUORACETATO DE POTÁSSIO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"2629","FLUORACETATO DE SÓDIO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"2630","SELENIATOS ou SELENITOS","6.1","","66","I","274","20","ZERO","P002
IBC07","B1","T6","TP33"
"2642","ÁCIDO FLUORACÉTICO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"2643","BROMOACETATO DE METILA","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2644","IODETO DE METILA","6.1","","66","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"2645","BROMETO DE FENACILA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"2646","HEXACLOROCICLOPENTADIENO","6.1","","66","I","354","20","ZERO","P602","","T20","TP2
TP35"
"","","","","","","","","","","","",""
"2647","MALONONITRILA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"2648","1,2-DIBROMOBUTAN-3-ONA","6.1","","60","II","","333","100 ml","P001
IBC02","","",""
"2649","1,3-DICLOROACETONA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"2650","1,1-DICLORO-1-NITROETANO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2651","4,4'-DIAMINODIFENILMETANO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2653","IODETO DE BENZILA","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"2655","FLUORSILICATO DE POTÁSSIO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2656","QUINOLINA","6.1","","60","III","","333","5 L","P001
IBC03 LP01","","T4","TP1"
"2657","DISSULFETO DE SELÊNIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"2659","CLOROACETATO DE SÓDIO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2660","NITROTOLUIDINAS (MONO)","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2661","HEXACLOROACETONA","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T4","TP1"
"2664","DIBROMOMETANO","6.1","","60","III","","333","5 L","P001
IBC03 LP01","","T4","TP1"
"2667","BUTILTOLUENOS","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T4","TP1"
"2668","CLOROACETONITRILA","6.1","3","663","I","354","333","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","TP37"
"2669","CLOROCRESÓIS SOLUÇÃO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"","","6.1","","60","III","223","333","5 L","P001 IBC03
LP01","","T7","TP2"
"2670","CLORETO CIANÚRICO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"2671","AMINOPIRIDINAS (o-,m-,p-)","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"2672","AMÔNIA SOLUÇÃO aquosa, com densidade relativa entre 0,880 e 0,957 a 15ºC, com mais de 10% e até 35% de amônia","8","","80","III","","1000","5 L","P001 IBC03
LP01","B11","T7","TP1"
"2673","2-AMINO-4-CLOROFENOL","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"2674","FLUORSILICATO DE SÓDIO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"2676","ESTIBINA","2.3","2.1","263","","","20","ZERO","P200","","",""
"2677","HIDRÓXIDO DE RUBÍDIO SOLUÇÃO","8","","80","II","","333","1 L","P001
IBC02","","T7","TP2"
"","","8","","80","III","223","1000","5 L","P001
IBC03 LP01","","T4","TP1"
"2678","HIDRÓXIDO DE RUBÍDIO","8","","80","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
